,seriesID,year,period,month,value,footnotes,netchg_1mo,netchg_3mo,netchg_6mo,netchg_12mo,pctchg_1mo,pctchg_3mo,pctchg_6mo,pctchg_12mo
56,JTS000000000000000JOR,2024,M08,August,4.6,,0.1,-0.2,-0.5,-1.0,2.2,-4.2,-9.8,-17.9
57,JTS000000000000000JOR,2024,M07,July,4.5,,0.0,-0.1,-0.6,-0.7,0.0,-2.2,-11.8,-13.5
58,JTS000000000000000JOR,2024,M06,June,4.5,,-0.3,-0.4,-0.7,-1.1,-6.3,-8.2,-13.5,-19.6
59,JTS000000000000000JOR,2024,M05,May,4.8,,0.2,-0.3,-0.4,-0.8,4.3,-5.9,-7.7,-14.3
60,JTS000000000000000JOR,2024,M04,April,4.6,,-0.3,-0.5,-0.6,-1.4,-6.1,-9.8,-11.5,-23.3
61,JTS000000000000000JOR,2024,M03,March,4.9,,-0.2,-0.3,-0.7,-0.9,-3.9,-5.8,-12.5,-15.5
62,JTS000000000000000JOR,2024,M02,February,5.1,,0.0,-0.1,-0.5,-0.9,0.0,-1.9,-8.9,-15.0
63,JTS000000000000000JOR,2024,M01,January,5.1,,-0.1,-0.1,-0.1,-1.2,-1.9,-1.9,-1.9,-19.0
64,JTS000000000000000HIR,2025,M10,October,3.2,preliminary,-0.2,-0.1,-0.3,-0.2,-5.9,-3.0,-8.6,-5.9
65,JTS000000000000000HIR,2025,M09,September,3.4,,0.2,0.1,0.0,-0.1,6.3,3.0,0.0,-2.9
66,JTS000000000000000HIR,2025,M08,August,3.2,preliminary,-0.1,-0.2,-0.2,-0.1,-3.0,-5.9,-5.9,-3.0
67,JTS000000000000000HIR,2025,M07,July,3.3,,0.0,-0.2,-0.1,-0.1,0.0,-5.7,-2.9,-2.9
68,JTS000000000000000HIR,2025,M06,June,3.3,,-0.1,-0.1,-0.1,0.1,-2.9,-2.9,-2.9,3.1
69,JTS000000000000000HIR,2025,M05,May,3.4,,-0.1,0.0,0.1,-0.1,-2.9,0.0,3.0,-2.9
70,JTS000000000000000HIR,2025,M04,April,3.5,,0.1,0.1,0.1,0.0,2.9,2.9,2.9,0.0
71,JTS000000000000000HIR,2025,M03,March,3.4,,0.0,0.0,-0.1,-0.1,0.0,0.0,-2.9,-2.9
72,JTS000000000000000HIR,2025,M02,February,3.4,,0.0,0.1,0.1,-0.2,0.0,3.0,3.0,-5.6
73,JTS000000000000000HIR,2025,M01,January,3.4,,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,-2.9
74,JTS000000000000000HIR,2024,M12,December,3.4,,0.1,-0.1,0.2,-0.2,3.0,-2.9,6.3,-5.6
75,JTS000000000000000HIR,2024,M11,November,3.3,,-0.1,0.0,-0.2,-0.2,-2.9,0.0,-5.7,-5.7
76,JTS000000000000000HIR,2024,M10,October,3.4,,-0.1,0.0,-0.1,-0.2,-2.9,0.0,-2.9,-5.6
77,JTS000000000000000HIR,2024,M09,September,3.5,,0.2,0.3,0.0,-0.2,6.1,9.4,0.0,-5.4
78,JTS000000000000000HIR,2024,M08,August,3.3,,-0.1,-0.2,-0.3,-0.4,-2.9,-5.7,-8.3,-10.8
79,JTS000000000000000HIR,2024,M07,July,3.4,,0.2,-0.1,-0.1,-0.2,6.3,-2.9,-2.9,-5.6
80,JTS000000000000000HIR,2024,M06,June,3.2,,-0.3,-0.3,-0.4,-0.6,-8.6,-8.6,-11.1,-15.8
81,JTS000000000000000HIR,2024,M05,May,3.5,,0.0,-0.1,0.0,-0.4,0.0,-2.8,0.0,-10.3
